OBJECTID,Asset ID,Suburb,Street,Parking restriction Sign Type,Sign Category,Sign Status,Sign owner,BCC Code For Signs,Sign Direction,Sign is Temporary,Related Signs,Multi-sign Plate,Additional Sign Text,ParkingRestrictionDaysandTimes,SAP Object Number,SAP ID Number,Parking Restriction Code,GlobalID,geo_shape,geo_point_2d,Suburb_List,Latitude,Longitude,Parking_Restriction_Type
247,SN-10-1000-1248008,HOLLAND PARK WEST,YULETIDE STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYR,Right,0,1,0,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100313225,IE000000000100313225,43,e07eda74-8913-4978-92dd-dfa2877095c6,"{""coordinates"": [153.05946637644425, -27.520386135275974], ""type"": ""Point""}","-27.520386135275974, 153.05946637644425","H, HOLLAND PARK WEST",-27.520386135275974,153.05946637644425,Loading Zone Passengers 2 Min. Max
257,SN-10-1000-1237278,ANNERLEY,OAKWOOD STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYL,Left,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100313389,IE000000000100313389,43,d0fd8ec5-9ece-49d9-a4f0-ac63ced0fda5,"{""coordinates"": [153.02397238982618, -27.51676583507537], ""type"": ""Point""}","-27.51676583507537, 153.02397238982618","A, ANNERLEY",-27.51676583507537,153.02397238982618,Loading Zone Passengers 2 Min. Max
275,SN-10-1000-1264519,SALISBURY,BLACKWOOD ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYL,Left,0,1,0,2 MIN MAX,SCHOOLDAYS:3-3:30pm,000000000100313880,IE000000000100313880,43,cfed4206-342b-4772-a906-591edadbf65a,"{""coordinates"": [153.03184827401327, -27.55359867447583], ""type"": ""Point""}","-27.55359867447583, 153.03184827401327","S, SALISBURY",-27.55359867447583,153.03184827401327,Loading Zone Passengers 2 Min. Max
302,SN-10-1000-1295152,CANNON HILL,KRUPP ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYL,Left,0,1,0,2 MIN MAX,":8am-9am ,SCHOOLDAYS:3pm-4pm",000000000100314465,IE000000000100314465,43,37ccbdac-0630-4a1b-aa9b-e9ed0b91d4f5,"{""coordinates"": [153.08617994779, -27.46123789834361], ""type"": ""Point""}","-27.46123789834361, 153.08617994779","C, CANNON HILL",-27.46123789834361,153.08617994779,Loading Zone Passengers 2 Min. Max
306,SN-10-1000-1235130,COORPAROO,CAVENDISH ROAD,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PYR,Right,0,1,1,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100314511,IE000000000100314511,43,cf8998f8-a6e2-467f-9214-2d9c6c28bc10,"{""coordinates"": [153.0640051242804, -27.510282264489568], ""type"": ""Point""}","-27.510282264489568, 153.0640051242804","C, COORPAROO",-27.510282264489568,153.0640051242804,Loading Zone Passengers 2 Min. Max
308,SN-10-1000-1201115,SPRING HILL,GREGORY TERRACE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45Z3R,Right,0,1,1,"2 MIN MAX,20 MINS MAX","MON-FRI:9am-4pm ,SAT:9am-12noon",000000000100314534,IE000000000100314534,45,0c6e1934-e571-4324-85a3-34e9c36fbaf2,"{""coordinates"": [153.01878643186183, -27.460322560502092], ""type"": ""Point""}","-27.460322560502092, 153.01878643186183","S, SPRING HILL",-27.460322560502092,153.01878643186183,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
322,SN-10-1000-1218340,BOWEN HILLS,GREGORY TERRACE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100314757,IE000000000100314757,45,e4c81bfc-0175-491c-b0b9-d665921b1cce,"{""coordinates"": [153.02989770036305, -27.452111170640933], ""type"": ""Point""}","-27.452111170640933, 153.02989770036305","B, BOWEN HILLS",-27.452111170640933,153.02989770036305,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
370,SN-10-1000-1236513,THE GAP,YURUGA STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43ZYL,Left,0,1,0,2 MIN MAX,":8am-9am ,SCHOOLDAYS:2:30pm-3:30pm",000000000100315693,IE000000000100315693,43,6bbc7da2-c6c8-406e-9be4-8f23e79c7a47,"{""coordinates"": [152.9453568570697, -27.442540465214623], ""type"": ""Point""}","-27.442540465214623, 152.9453568570697","T, THE GAP",-27.442540465214623,152.9453568570697,Loading Zone Passengers 2 Min. Max
393,SN-30-1000-1645461,CAMP HILL,MARTHA STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ZJR,Right,0,1,0,,,000000000100466274,IE000000000100466274,45,56b532d7-d453-46a8-95a8-d430495a2371,"{""coordinates"": [153.0679470055092, -27.497359468368835], ""type"": ""Point""}","-27.497359468368835, 153.0679470055092","C, CAMP HILL",-27.497359468368835,153.0679470055092,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
426,SN-10-1000-1237304,YERONGA,VILLA STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43PL,Left,0,1,0,2 MIN MAX,":7am-9am ,SCHOOLDAYS:2pm-4pm",000000000100316834,IE000000000100316834,43,fc9d80e4-0c3a-417b-ba74-0cf4fdfc68e2,"{""coordinates"": [153.02338985488254, -27.517465617616878], ""type"": ""Point""}","-27.517465617616878, 153.02338985488254","Y, YERONGA",-27.517465617616878,153.02338985488254,Loading Zone Passengers 2 Min. Max
450,SN-20-1000-5000653,INALA,CORSAIR AVENUE,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43R,Right,0,1,0,2 MIN MAX,,000000000100413273,IE000000000100413273,43,1f650495-36ba-447f-ba9f-a878e5293caf,"{""coordinates"": [152.9745309115622, -27.600846586518305], ""type"": ""Point""}","-27.600846586518305, 152.9745309115622","I, INALA",-27.600846586518305,152.9745309115622,Loading Zone Passengers 2 Min. Max
461,SN-20-1000-5001583,BRISBANE CITY,CREEK STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45ZL,Left,0,0,0,,,000000000100457776,IE000000000100457776,45,407fd671-2964-4293-b3c7-cc90f691ced3,"{""coordinates"": [153.0282835679952, -27.466586300127783], ""type"": ""Point""}","-27.466586300127783, 153.0282835679952","B, BRISBANE CITY",-27.466586300127783,153.0282835679952,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
464,SN-20-2000-2387174,ST LUCIA,RAVEN STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43EEL,Left,0,1,0,2 MIN MAX,MON-FRI:8 AM-5:30 PM,000000000100407132,IE000000000100407132,43,1e18acec-2ccd-4b7a-9b03-65041cbd3cf2,"{""coordinates"": [152.9997296215681, -27.494702194914776], ""type"": ""Point""}","-27.494702194914776, 152.9997296215681","S, ST LUCIA",-27.494702194914776,152.9997296215681,Loading Zone Passengers 2 Min. Max
474,SN-10-1000-1186213,BRISBANE CITY,MAY STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45TL,Left,0,1,0,"2 MIN MAX,20 MINS MAX",MON-FRI:7am-7pm,000000000100317810,IE000000000100317810,45,8dc8d0e1-406c-4d5b-adfd-0b9be3705cea,"{""coordinates"": [153.01659343088588, -27.466800355926992], ""type"": ""Point""}","-27.466800355926992, 153.01659343088588","B, BRISBANE CITY",-27.466800355926992,153.01659343088588,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
511,SN-10-1000-1129397,SPRING HILL,LEICHHARDT STREET,Loading Zone Passengers 2 Min. Max,Loading Zones,In Service,BCC,43L,Left,0,1,0,2 MINS MAX,,000000000100313557,IE000000000100313557,43,8659d498-5cc2-4daf-9124-d8527f51dc9c,"{""coordinates"": [153.02445120393352, -27.462651567919448], ""type"": ""Point""}","-27.462651567919448, 153.02445120393352","S, SPRING HILL",-27.462651567919448,153.02445120393352,Loading Zone Passengers 2 Min. Max
512,SN-10-1000-1231816,COORPAROO,HOLDSWORTH STREET,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45L,Left,0,1,1,"2 MIN MAX,20 MINS MAX",,000000000100313580,IE000000000100313580,45,4c5ce997-7a3d-4a4a-afbd-be6a51dce685,"{""coordinates"": [153.058340235116, -27.493941262526107], ""type"": ""Point""}","-27.493941262526107, 153.058340235116","C, COORPAROO",-27.493941262526107,153.058340235116,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
527,SN-10-1000-1183208,SPRING HILL,WICKHAM TERRACE,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max",Loading Zones,In Service,BCC,45TL,Left,0,1,0,"2 MIN MAX,20 MINS MAX",MON-FRI:7am-7pm,000000000100313941,IE000000000100313941,45,7069fd1f-db64-4433-827f-07694c3a3893,"{""coordinates"": [153.025746568405, -27.464672935056814], ""type"": ""Point""}","-27.464672935056814, 153.025746568405","S, SPRING HILL",-27.464672935056814,153.025746568405,"Loading Zone - Passenger 2 Min. Max, Commercial Vehicles 20 Min. Max"
